"","AmoFv","BeauFv","BodoFv","CadFv","HaliFv","LewFv","LimaFv","ObanFv","SCHFs","SCHFd","SCHFv","SidFv","TagusFv","TorrFv","UumFv","VianaFv","WHFv","GreenFv","MineFv","NewpFv"
"AmoFv",0,5841,3200,616,4412,5513,6,1645,4733,4733,4733,1092,321,100,4034,6,5039,3217,1139,5096
"BeauFv",5841,0,6547,6234,1539,471,5839,5743,1298,1298,1298,6007,5913,5879,4263,5837,920,4289,5985,880
"BodoFv",3200,6547,0,3688,5068,6084,3194,1619,5256,5256,5256,2110,3511,3290,2552,3195,5633,2264,2061,5669
"CadFv",616,6234,3688,0,4867,5938,621,2204,5194,5194,5194,1597,357,521,4650,622,5478,3833,1651,5536
"HaliFv",4412,1539,5068,4867,0,1130,4411,4205,331,331,331,4485,4526,4462,2989,4408,641,2844,4461,695
"LewFv",5513,471,6084,5938,1130,0,5511,5322,854,854,854,5614,5607,5557,3793,5509,489,3824,5590,439
"LimaFv",6,5839,3194,621,4411,5511,0,1639,4732,4732,4732,1086,326,105,4029,3,5038,3212,1133,5095
"ObanFv",1645,5743,1619,2204,4205,5322,1639,0,4470,4470,4470,645,1965,1742,2712,1640,4836,1989,587,4884
"SCHFs",4733,1298,5256,5194,331,854,4732,4470,0,0,0,4775,4852,4785,3063,4729,378,3006,4749,418
"SCHFd",4733,1298,5256,5194,331,854,4732,4470,0,0,0,4775,4852,4785,3063,4729,378,3006,4749,418
"SCHFv",4733,1298,5256,5194,331,854,4732,4470,0,0,0,4775,4852,4785,3063,4729,378,3006,4749,418
"SidFv",1092,6007,2110,1597,4485,5614,1086,645,4775,4775,4775,0,1401,1181,3323,1087,5126,2565,57,5177
"TagusFv",321,5913,3511,357,4526,5607,326,1965,4852,4852,4852,1401,0,223,4322,326,5142,3502,1451,5200
"TorrFv",100,5879,3290,521,4462,5557,105,1742,4785,4785,4785,1181,223,0,4130,106,5086,3312,1230,5143
"UumFv",4034,4263,2552,4650,2989,3793,4029,2712,3063,3063,3063,3323,4322,4130,0,4028,3413,824,3269,3432
"VianaFv",6,5837,3195,622,4408,5509,3,1640,4729,4729,4729,1087,326,106,4028,0,5035,3211,1134,5092
"WHFv",5039,920,5633,5478,641,489,5038,4836,378,378,378,5126,5142,5086,3413,5035,0,3381,5101,59
"GreenFv",3217,4289,2264,3833,2844,3824,3212,1989,3006,3006,3006,2565,3502,3312,824,3211,3381,0,2514,3414
"MineFv",1139,5985,2061,1651,4461,5590,1133,587,4749,4749,4749,57,1451,1230,3269,1134,5101,2514,0,5152
"NewpFv",5096,880,5669,5536,695,439,5095,4884,418,418,418,5177,5200,5143,3432,5092,59,3414,5152,0
