,BeauEnv_,BodoEnv_,HaliEnv_,LewEnv_,LimaEnv_,ObanEnv_,SBEnv_,SidEnv_,TagusEnv_,VianaEnv_,WHEnv_,CadEnv_,SCHEnvHI,SCHEnvLO,SCHEnvMID,MineEnv_,NewpEnv_
BeauEnv_,0,,,,,,,,,,,,,,,,
BodoEnv_,6547,0,,,,,,,,,,,,,,,
HaliEnv_,1539,5068,0,,,,,,,,,,,,,,
LewEnv_,471,6084,1130,0,,,,,,,,,,,,,
LimaEnv_,5839,3194,4411,5511,0,,,,,,,,,,,,
ObanEnv_,5743,1619,4205,5322,1639,0,,,,,,,,,,,
SBEnv_,6234,3688,4867,5938,621,2204,0,,,,,,,,,,
SidEnv_,6007,2110,4485,5614,1086,645,1597,0,,,,,,,,,
TagusEnv_,5913,3511,4526,5607,326,1965,357,1401,0,,,,,,,,
VianaEnv_,5837,3195,4408,5509,3,1640,622,1087,326,0,,,,,,,
WHEnv_,920,5633,641,489,5038,4836,5478,5126,5142,5035,0,,,,,,
CadEnv_,6234,3688,4867,5938,621,2204,0,1597,357,622,5478,0,,,,,
SCHEnvHI,1298,5256,331,854,4732,4470,5194,4775,4852,4729,378,5194,0,,,,
SCHEnvLO,1298,5256,331,854,4732,4470,5194,4775,4852,4729,378,5194,0,0,,,
SCHEnvMID,1298,5256,331,854,4732,4470,5194,4775,4852,4729,378,5194,0,0,0,,
MineEnv_,5985,2061,4461,5590,1133,587,1651,57,1451,1134,5101,1651,4749,4749,4749,0,
NewpEnv_,880,5669,695,439,5095,4884,5536,5177,5200,5092,59,5536,418,418,418,5152,0
