name,lat,lon,Tz
BeauEnv_,34.716837,-76.668103,America/New_York
BodoEnv_,67.412183,14.6156,Europe/Oslo
HaliEnv_,44.491883,-63.912172,America/Halifax
LewEnv_,38.78846,-75.16091,America/New_York
ObanEnv_,56.290933,-5.633683,Europe/London
SBEnv_,36.46783,-6.25158,Europe/Gibraltar
SidEnv_,50.675183,-3.2468,Europe/London
TagusEnv_,38.762965,-9.09139,Europe/Lisbon
TorrEnv_,40.751038,-8.700004,Europe/Lisbon
VianaEnv_,41.69583,-8.85115,Europe/Lisbon
WHEnv_,41.515628,-70.654314,America/New_York
CadEnv_,36.46783,-6.25158,Europe/Gibraltar
MineEnv_,51.18323,-3.38488,Europe/London
